axial_length,acd,lens_thickness,k_avg,lens_power
5,2,1,0.2,13.5
6,2.2,5.1,1.6,13.55
6,2.2,4.5,1.5,13.6
6.2,2.2,4.2,1.2,13.65
4.5,2.3,1.4,0.2,13.7
5,2.3,1.7,0.5,13.75
5.5,2.3,4.9,1.5,13.8
6.3,2.3,4.1,1.3,13.85
4.9,2.4,1.3,0.4,13.9
5.5,2.4,4,1.3,13.95
5.5,2.4,4.6,1.5,14
4.9,2.5,1.4,0.3,14.05
5.1,2.5,1.5,0.1,14.1
5.5,2.5,4.5,1.3,14.15
5.6,2.5,3.9,1.4,14.2
5.7,2.5,4.4,1.4,14.25
6.3,2.5,6,2.5,14.3
6.3,2.5,5.1,1.9,14.35
6.7,2.5,6.7,2,14.4
5.5,2.6,4.7,1.6,14.45
5.7,2.6,4.5,1.5,14.5
5.8,2.6,4.7,1.2,14.55
6.1,2.6,4,1.3,14.6
7.7,2.6,5.2,2.3,14.65
5.2,2.7,1.3,0.3,14.7
5.6,2.7,3.5,1,17.05
5.8,2.7,4.3,1.3,17.75
5.8,2.7,4.4,1.4,17.8
5.8,2.7,4.8,1.4,17.85
5.8,2.7,5,1.7,17.9
6,2.7,4.5,1.6,18.3
6.3,2.7,5.9,2.1,19.15
6.4,2.7,5.8,1.8,19.45
5.6,2.8,4.2,1.5,17.1
5.7,2.8,4.1,1,17.4
5.7,2.8,4.5,1.5,17.45
5.8,2.8,4.5,1.5,17.95
6.1,2.8,4.4,1.2,18.55
6.1,2.8,4.6,1.4,18.6
6.2,2.8,4.2,1.3,18.85
6.3,2.8,5.6,1.8,19.2
6.4,2.8,6.1,2.5,19.5
6.4,2.8,5.1,2,19.55
6.5,2.8,5.3,2.3,19.8
6.8,2.8,6.1,1.9,20.55
7.4,2.8,5.9,2.3,21.2
7.7,2.8,5,1.9,21.35
4.4,2.9,1.4,0.2,14.1
5.6,2.9,4,1,17.15
5.7,2.9,3.9,1.1,17.5
6,2.9,4.7,1.5,18.35
6.1,2.9,4,1.2,18.65
6.2,2.9,4.3,1.3,18.9
6.3,2.9,5.8,2.2,19.25
6.4,2.9,5.3,1.9,19.6
6.6,2.9,5.7,2.3,20.05
7.3,2.9,5.1,1.9,21.15
4.3,3,1.4,0.2,14.05
4.4,3,1.3,0.2,14.15
4.8,3,1.6,0.2,14.6
4.8,3,1.4,0.1,14.65
4.9,3,1.7,0.3,14.95
5,3,1.9,0.2,15.25
5.4,3,1.6,0.2,16.35
5.6,3,4.7,1.4,17.2
5.6,3,3.6,1.3,17.25
5.7,3,4.8,1.8,17.55
5.9,3,3.8,1.1,18.05
5.9,3,3.7,1,18.1
6,3,4.4,1.3,18.4
6.1,3,3.3,1,18.7
6.1,3,4.2,1.3,18.75
6.5,3,5.5,1.8,19.85
6.5,3,6.7,2.2,19.9
6.5,3,6.9,2.3,19.95
6.6,3,4.9,2,20.1
6.7,3,4.9,1.8,20.2
6.7,3,5.7,2.1,20.25
6.8,3,6.4,2,20.6
7.1,3,4.8,1.8,20.95
7.2,3,5.4,2.1,21
7.6,3,5.7,2.5,21.25
7.7,3,5.2,2,21.4
4.6,3.1,1.7,0.4,14.3
4.8,3.1,1.1,0.1,14.7
4.9,3.1,1.5,0.3,15
4.9,3.1,1.7,0.2,15.05
6.4,3.1,5.5,2.1,19.65
6.7,3.1,6,1.8,20.3
6.7,3.1,4.8,1.8,20.35
6.7,3.1,4.9,1.8,20.4
6.9,3.1,5.1,1.5,20.7
6.9,3.1,5.6,1.4,20.75
6.9,3.1,6.1,2.3,20.8
4.4,3.2,1.5,0.2,14.2
4.6,3.2,1.4,0.3,14.35
4.7,3.2,1.5,0.1,14.5
4.7,3.2,1.5,0.2,14.55
5,3.2,1.6,0.2,15.3
5.9,3.2,3.9,1.2,18.15
6.4,3.2,5,2,19.7
6.4,3.2,5.1,2.4,19.75
6.5,3.2,5,1.5,20
6.8,3.2,5.6,2.2,20.65
6.9,3.2,5.6,2.4,20.85
7,3.2,5.5,1.8,20.9
7.2,3.2,5.6,2.4,21.05
5,3.3,1.6,0.4,15.35
5.1,3.3,1.4,0.2,15.7
6.3,3.3,6.6,2.1,19.3
6.3,3.3,4.5,1.7,19.35
6.7,3.3,5.6,2.1,20.45
6.7,3.3,5.8,1.6,20.5
4.6,3.4,1.5,0.2,14.4
4.8,3.4,1.2,0.2,14.75
4.8,3.4,1.5,0.4,14.8
5,3.4,1.5,0.2,15.4
5,3.4,1.4,0.2,15.45
5.1,3.4,1.5,0.2,15.75
5.2,3.4,1.3,0.2,16.15
5.4,3.4,1.4,0.2,16.4
5.4,3.4,1.5,0.2,16.45
6,3.4,4.1,1.3,18.45
6.2,3.4,3,1.1,18.95
6.3,3.4,6.3,1.8,19.4
5,3.5,1.6,0.2,15.5
5,3.5,1.6,0.2,15.55
5.1,3.5,1.2,0.2,15.8
5.1,3.5,1.3,0.2,15.85
5.2,3.5,1.6,0.6,16.2
5.5,3.5,3.3,1,16.9
4.6,3.6,1.4,0.2,14.45
4.9,3.6,1.5,0.4,15.1
5,3.6,1.5,0.4,15.6
7.2,3.6,5.1,2.3,21.1
5.1,3.7,1.4,0.1,15.9
5.3,3.7,1.4,0.3,16.3
5.4,3.7,1.4,0.2,16.5
5.1,3.8,1.3,0.2,15.95
5.1,3.8,1.5,0.2,16
5.1,3.8,1.3,0.3,16.05
5.7,3.8,4,1.3,17.6
7.7,3.8,5.4,2.3,21.45
7.9,3.8,5.1,1.8,21.5
5.4,3.9,4.7,1.4,16.55
5.4,3.9,4.5,1.5,16.6
5.8,4,3.5,1,18
5.2,4.1,1.9,0.4,16.25
5.5,4.2,4.6,1.3,16.95
5.7,4.4,4.9,1.5,17.65